u_current,v_current,u_wind,v_wind,windage,sst,duration_hours,observed_area_km2,aspect_ratio,oil_density,oil_viscosity,dx_residual_meters,dy_residual_meters,uncertainty_scale
-0.5232,-0.4544,14.8,4.641,0.0308,14.78,60.98,58.37,4.09,870.3,100.6,63514.32,-9126.91,2.616
-0.2332,-0.7875,11.538,-13.754,0.0373,15.2,58.39,45.91,3.11,845.1,88.1,8969.34,-70787.91,2.817
-0.0279,-0.0739,9.361,5.578,0.0431,23.93,53.18,36.7,3.43,848.6,72.2,33730.66,-2526.09,2.035
0.2129,0.4189,-16.244,-7.801,0.0442,15.89,34.43,22.24,2.36,821.7,38.8,-40398.76,7553.14,2.005
-0.236,0.1921,12.374,-17.991,0.0381,14.4,24.68,11.31,1.1,869.0,30.6,2240.27,-35624.96,1.855
-0.0674,0.3112,-2.23,-13.43,0.0418,17.09,44.61,41.36,4.26,832.8,143.6,-30566.43,-30775.6,2.008
0.4454,-0.7539,-5.674,15.61,0.0355,24.17,63.34,59.7,4.32,865.0,86.4,9321.84,59583.31,2.688
-0.834,0.8127,1.673,13.225,0.0292,26.66,63.86,28.31,4.32,907.9,143.3,24079.77,40094.88,2.431
-0.4456,0.6093,-14.711,-9.59,0.0355,17.64,9.59,43.56,4.3,945.2,128.2,-10941.79,-631.94,1.24
0.384,0.5492,9.239,10.021,0.0361,26.03,31.98,29.96,3.85,937.5,38.9,21380.74,5757.81,1.781
0.7114,0.5814,2.968,3.909,0.0398,17.28,34.53,26.2,3.4,855.4,94.3,10501.69,3215.45,1.254
0.021,0.7789,-11.283,16.953,0.0294,25.04,70.43,24.91,3.96,838.8,82.7,-11444.49,77944.18,3.303
0.0578,0.0797,-11.224,-4.55,0.0324,21.42,49.46,30.53,3.1,847.0,79.2,-32282.87,3552.91,2.068
-0.7071,-0.5395,-11.367,6.533,0.0323,25.77,30.51,22.33,1.47,955.9,99.9,-11581.03,19349.13,1.676
-0.0947,0.2102,-15.948,-15.713,0.0442,31.91,3.82,45.05,2.37,896.9,176.9,-5075.61,-574.99,1.144
0.0587,0.4372,3.161,-3.735,0.0339,30.88,41.58,52.52,4.4,845.6,147.3,362.37,-10921.96,1.394
-0.4636,0.4283,12.253,16.697,0.0401,14.08,8.73,53.03,2.23,937.7,163.1,12481.78,4710.69,1.345
-0.4154,0.0386,-17.37,1.403,0.04,29.94,60.41,14.05,4.04,875.3,10.2,-40583.11,30788.23,2.717
-0.2209,-0.7768,-16.236,-7.636,0.0303,15.2,54.68,53.81,1.33,945.9,29.6,-63605.63,638.61,2.613
-0.8639,-0.232,2.62,-13.67,0.0364,31.15,34.24,20.82,2.17,856.5,19.8,-8109.02,-20806.19,1.739
-0.3203,0.7574,11.502,7.327,0.0429,19.07,32.04,18.9,2.23,875.1,51.1,27957.29,-786.06,1.655
-0.5194,0.152,-6.237,5.215,0.0345,20.88,64.81,43.74,1.18,890.7,82.3,-11306.24,29258.7,1.907
-0.3105,0.069,-5.414,-4.538,0.0439,15.65,22.19,18.63,1.42,945.0,117.4,-10222.16,293.49,1.281
-0.6844,-0.4161,3.468,16.234,0.0293,16.02,19.43,3.65,1.68,941.6,92.6,11488.62,16711.33,1.576
0.7029,-0.2368,-8.128,-17.201,0.0265,27.08,67.74,22.73,3.93,900.4,163.1,-52809.26,-49285.98,3.212
0.1685,0.7116,-17.042,-7.066,0.0428,31.0,58.65,43.43,1.22,851.0,169.5,-59361.39,12696.21,2.842
0.3224,0.2996,8.468,15.159,0.042,24.99,59.44,19.95,2.05,876.5,33.6,52744.54,26427.45,2.763
0.5205,0.5173,4.523,-6.446,0.0449,26.89,15.66,37.96,1.04,956.6,154.3,-1230.83,-8362.24,1.102
-0.0028,-0.0822,2.907,-8.919,0.0386,27.72,12.03,39.78,3.43,905.1,89.3,-1371.85,-6559.78,1.173
-0.7435,0.2344,8.701,1.232,0.0437,18.73,3.82,44.16,3.17,929.4,84.3,1724.94,-1034.78,1.104
0.0668,-0.4529,6.308,11.657,0.0415,14.81,18.59,53.88,3.26,883.0,142.4,14991.41,8810.63,1.352
0.1563,0.3698,-10.588,-14.287,0.0419,14.03,56.19,26.24,2.31,894.5,21.3,-64089.83,-20678.97,2.67
0.4418,-0.1303,-5.311,15.949,0.0364,20.31,18.8,10.4,1.73,880.1,159.4,3734.96,20199.08,1.553
-0.123,-0.1034,-13.46,10.623,0.0326,18.35,53.04,19.48,3.52,918.4,122.4,-22982.51,54782.71,2.538
-0.6704,0.2688,-13.325,-11.475,0.0437,15.12,19.63,26.21,3.84,939.2,158.2,-25335.77,-2309.91,1.594
-0.3892,0.7853,6.343,7.632,0.0336,17.23,29.67,42.98,1.49,891.0,179.0,17658.32,5997.7,1.521
-0.2465,-0.7848,12.91,-4.141,0.0358,16.24,70.82,1.28,2.7,887.3,95.7,41591.36,-47151.33,2.609
0.2627,0.5845,16.658,-3.517,0.0339,30.47,19.14,19.29,1.87,867.6,21.3,11343.49,-10311.01,1.47
0.1274,-0.3737,4.62,10.198,0.0363,16.52,28.35,46.9,1.59,844.8,34.1,16165.38,12020.74,1.554
-0.259,-0.1009,-11.372,16.66,0.0344,23.68,23.08,40.42,3.57,951.5,61.6,-1778.49,26149.15,1.79
0.8757,-0.8606,-14.197,-13.44,0.026,24.68,9.67,44.04,2.88,864.3,23.1,-8707.76,-4087.1,1.243
0.1904,-0.3581,11.263,-2.857,0.0426,23.78,36.29,48.8,1.76,932.1,147.7,17352.23,-21603.11,1.772
-0.473,0.0047,2.835,-0.686,0.0339,15.78,28.51,47.1,2.09,920.1,57.0,3338.82,-3504.04,1.165
-0.7168,-0.7989,4.258,-4.453,0.0368,19.74,50.64,41.09,4.38,930.7,175.8,2173.82,-22383.03,1.451
-0.6249,-0.016,10.133,-4.925,0.0278,14.92,59.23,26.66,3.97,951.1,128.0,29688.81,-34355.07,2.071
-0.4573,0.7688,7.318,-16.118,0.0251,21.12,40.1,59.02,4.08,907.3,35.4,1487.12,-38877.24,2.155
-0.6108,-0.7103,12.04,6.679,0.0299,17.39,4.25,34.36,2.61,945.7,88.3,4136.73,-113.74,1.069
-0.5642,0.476,-15.976,-2.296,0.0391,24.11,45.32,12.56,3.18,843.5,86.7,-38951.83,18613.2,2.234
-0.3868,-0.1626,8.911,-10.987,0.027,26.47,5.88,17.92,2.32,907.7,91.2,1921.53,-3778.8,1.09
-0.5879,0.2793,12.631,11.377,0.0432,23.58,45.14,41.77,1.27,928.1,98.7,47517.56,4602.96,2.335
0.7142,-0.4316,-7.699,10.892,0.0293,21.82,49.95,55.52,2.4,858.0,10.5,-7745.38,34926.35,2.163
-0.7556,-0.6129,5.056,-0.49,0.0291,20.97,15.84,11.13,3.08,923.7,125.1,3573.3,-1857.86,1.165
0.0441,-0.6112,-6.69,-7.256,0.0286,29.15,59.35,5.4,2.01,929.0,90.3,-27005.36,-10981.09,1.979
-0.1613,-0.7731,16.487,4.971,0.0253,17.95,65.78,52.95,3.97,936.4,143.4,71031.09,-8038.33,2.935
0.8683,-0.5658,-16.797,-7.627,0.0404,27.22,58.92,54.96,1.53,863.8,147.7,-64086.75,9709.68,2.798
-0.6983,0.2956,2.873,-9.504,0.0425,27.63,23.36,16.94,2.28,915.4,45.3,-4896.94,-12240.48,1.35
-0.1839,0.687,-12.006,8.299,0.0373,21.55,43.07,22.95,1.44,862.6,13.5,-14576.14,33612.13,2.107
0.845,0.5654,7.64,-16.548,0.0288,19.35,66.04,39.78,2.42,923.5,128.1,566.93,-74732.12,3.022
0.6579,0.3332,-11.668,-14.588,0.0307,22.47,24.45,20.13,1.14,884.8,176.1,-26584.16,-12430.67,1.727
0.5707,-0.7012,-9.526,-17.756,0.0345,15.68,59.4,52.69,1.95,903.7,83.2,-64321.6,-42819.51,2.974
-0.4358,-0.3795,-0.203,-12.494,0.0441,14.83,2.66,6.9,2.4,878.2,50.4,-1358.18,-2140.33,1.019
-0.5924,-0.3423,14.934,-15.516,0.0299,16.01,2.26,2.76,2.67,842.7,32.4,766.2,-3013.03,1.182
0.3036,-0.4501,-10.378,17.849,0.0396,17.37,55.18,12.9,2.9,844.9,55.3,1328.51,75522.01,2.899
0.7729,0.027,-12.807,-7.603,0.0338,23.08,55.3,17.52,1.96,830.9,62.4,-46509.01,-1647.53,2.381
0.1022,0.064,9.323,-12.626,0.031,29.28,57.23,7.22,2.83,906.5,79.2,7583.27,-43373.19,2.533
0.1289,-0.2576,0.022,-9.324,0.0341,18.24,67.1,4.41,2.78,938.8,119.7,-18525.32,-34445.15,1.982
-0.396,-0.2632,14.824,15.701,0.0264,30.83,10.25,45.46,2.11,822.9,52.8,9349.1,4826.17,1.424
0.4851,0.5914,-12.722,0.726,0.041,31.19,18.24,10.27,3.91,829.3,13.9,-9499.95,5358.68,1.357
-0.5633,0.5207,5.253,-4.867,0.0299,31.26,65.26,54.88,2.91,884.0,70.3,9593.29,-20271.42,1.87
-0.3174,-0.346,-9.616,13.442,0.0395,29.08,14.41,22.4,2.16,923.3,154.7,-442.47,14526.15,1.381
-0.1342,0.7448,-12.357,-3.78,0.0264,20.55,49.76,40.4,4.32,842.1,92.2,-37594.14,4868.47,2.123
0.0137,0.8151,6.603,-5.94,0.0441,15.31,39.13,13.91,3.96,858.0,173.8,5216.1,-23951.18,1.454
-0.4637,-0.3119,3.373,-10.538,0.0289,24.24,7.82,14.8,4.44,852.5,93.1,-408.93,-4718.75,1.086
-0.6933,-0.262,9.174,-4.399,0.0427,24.06,21.97,34.7,3.42,875.9,53.3,5194.66,-11598.04,1.358
0.1991,0.0101,-6.859,-6.599,0.0412,29.3,38.43,33.86,2.32,851.5,38.8,-17955.26,-3930.61,1.508
-0.3805,0.794,-1.873,6.383,0.0444,31.93,61.66,46.24,1.98,869.4,126.5,7177.56,18776.43,1.714
0.1462,0.6774,-3.403,-7.575,0.0346,23.15,51.53,45.59,3.32,922.0,98.9,-19325.05,-13493.68,1.729
-0.6221,-0.7154,17.427,2.779,0.0395,20.21,45.53,40.41,4.43,905.5,110.7,46784.16,-20235.01,2.29
-0.0339,-0.1931,-7.479,-15.628,0.0324,17.35,36.72,27.22,3.19,831.4,137.1,-34272.79,-25464.9,2.06
0.0587,0.0961,-7.387,-11.114,0.0287,14.09,22.91,53.49,4.09,909.3,132.0,-16430.75,-10496.25,1.55
-0.8067,0.0056,-5.236,-3.333,0.0339,23.16,10.35,37.54,2.15,886.8,12.6,-2733.21,-82.38,1.002
-0.2941,-0.551,2.325,15.73,0.0283,24.0,30.64,59.42,2.42,950.8,145.5,12656.95,24766.49,1.748
-0.6581,0.6459,-8.916,-4.419,0.0446,28.85,4.0,49.25,4.17,860.5,98.2,-1813.67,684.95,1.05
-0.7859,0.3185,14.95,5.907,0.0269,23.08,16.77,3.14,3.65,921.7,73.5,14883.55,-1077.95,1.451
0.8819,0.6082,-8.435,-8.817,0.0368,30.5,32.27,19.58,4.43,922.3,99.1,-20063.19,-5063.41,1.653
-0.3198,0.6458,14.249,-13.427,0.0375,25.31,31.3,34.53,3.71,851.0,112.2,8757.0,-35901.46,2.066
0.5578,0.447,-14.275,-15.893,0.0358,29.13,5.1,43.43,2.57,946.5,31.2,-5437.71,-1641.36,1.205
-0.4416,-0.1094,5.636,-7.005,0.0382,16.67,43.23,33.25,2.86,888.8,78.0,2068.3,-24368.32,1.683
0.3267,0.199,14.651,-12.324,0.0273,29.4,40.48,47.27,4.15,915.0,63.7,15781.23,-35021.19,2.222
0.4684,-0.6113,-11.925,-11.736,0.0361,26.15,7.47,17.32,2.93,840.4,66.3,-7141.13,-1852.74,1.215
0.1721,0.3126,16.86,9.387,0.0307,17.06,68.02,11.44,1.89,856.1,21.0,77567.93,4170.51,3.172
-0.0512,-0.5773,-1.696,-17.43,0.0438,17.42,8.96,3.71,2.52,902.1,33.0,-6569.25,-7585.68,1.335
-0.1587,0.3491,16.046,2.081,0.0402,30.68,61.84,34.61,2.81,864.7,33.3,44141.71,-21650.67,2.676
-0.272,-0.4867,6.366,-4.339,0.0445,14.58,2.02,41.47,1.34,890.0,70.3,459.49,-1265.55,0.993
0.7732,-0.6884,-7.143,0.236,0.0258,22.33,63.76,19.91,3.6,872.4,161.5,-24103.37,11141.88,1.802
0.5951,-0.6025,-11.221,2.262,0.0307,19.64,3.38,37.01,1.38,909.7,41.1,-2118.05,912.96,1.093
0.837,-0.8964,-7.066,-6.719,0.0289,25.97,55.05,3.6,2.42,888.2,77.8,-25995.49,-9021.23,1.853
-0.6763,0.3937,-14.651,-7.376,0.0252,29.11,27.32,6.41,3.82,820.6,59.5,-22296.73,-2202.49,1.729
0.4156,0.4183,-12.821,8.402,0.0298,20.49,53.68,42.25,2.64,911.0,142.8,-25876.14,43715.5,2.355
0.789,0.0269,-14.232,13.366,0.0386,21.68,30.12,22.4,3.95,879.1,13.8,-9636.45,32149.98,2.042
-0.5738,-0.6095,-2.774,-11.067,0.0296,31.67,6.96,40.44,2.2,867.8,39.4,-2549.59,-3336.83,1.143
-0.7803,-0.7496,10.641,-14.486,0.0352,28.11,55.73,49.99,4.35,833.2,41.9,5631.75,-50934.48,2.706
0.434,-0.8656,-12.91,14.321,0.0428,30.15,6.99,51.23,1.73,850.9,178.8,-727.83,8207.12,1.2
0.1341,-0.6017,-13.308,-5.404,0.0389,21.9,66.55,10.74,1.13,851.3,104.9,-57927.72,12064.73,2.61
0.6153,0.7035,5.163,1.847,0.0329,18.21,5.57,29.43,4.05,951.0,29.3,1725.46,571.96,1.116
-0.6484,-0.4652,-10.901,-5.056,0.0324,21.41,35.55,44.17,3.63,880.6,52.6,-22624.9,2754.47,1.694
0.5315,-0.2623,-14.486,-13.471,0.0341,26.89,52.61,46.55,1.81,825.9,34.4,-53932.67,-14520.43,2.74
-0.5371,-0.7104,-11.993,3.216,0.0285,15.97,29.53,47.19,4.45,839.4,26.8,-17820.14,13766.13,1.543
-0.6054,-0.4997,15.254,0.905,0.0377,18.87,17.21,14.08,2.76,831.1,144.5,14850.69,-8283.2,1.4
-0.6043,0.0346,11.573,-10.692,0.0323,14.84,55.14,11.96,4.33,902.4,91.8,17629.05,-54356.71,2.431
0.5662,0.194,-5.254,-1.733,0.042,21.78,56.9,35.61,2.77,846.1,115.5,-19213.9,6004.46,1.472
0.2974,-0.4584,5.61,10.69,0.0401,28.89,66.59,44.59,2.65,889.8,63.0,37481.25,23137.34,2.406
0.0415,-0.7961,1.342,3.255,0.0372,14.44,28.33,19.49,2.57,871.8,101.9,4894.66,2802.41,1.124
-0.2541,-0.1961,6.376,-14.511,0.0323,26.16,37.44,6.73,2.17,932.5,50.1,-2298.2,-31654.18,2.028
0.679,-0.4784,6.576,1.729,0.0292,30.78,27.42,43.15,2.87,864.9,58.9,6959.35,-371.01,1.32
-0.1936,-0.5048,4.634,7.299,0.0405,18.26,20.0,18.33,2.58,884.2,119.1,9934.35,4102.01,1.29
0.5699,0.8278,-8.42,10.537,0.0347,26.49,54.57,10.4,1.13,921.0,31.3,-6584.3,37815.0,2.301
-0.1096,0.2093,-16.596,4.648,0.0295,31.55,25.78,9.29,1.91,880.7,113.0,-16115.9,15134.11,1.627
-0.2215,0.1024,-1.6,-12.504,0.0289,31.32,31.97,19.24,1.75,931.1,154.1,-12418.97,-17007.37,1.662
-0.0672,-0.1516,14.075,7.566,0.0283,18.23,30.26,35.76,4.04,912.6,26.1,27733.88,2108.39,1.752
-0.3575,-0.1279,2.502,6.384,0.0405,15.81,51.89,21.82,3.1,877.5,162.1,21896.27,14952.72,1.495
0.4457,0.0736,11.966,-17.121,0.0296,16.67,66.25,1.73,3.67,890.6,18.9,13636.28,-83172.3,3.246
0.0049,0.3536,17.698,-3.177,0.0355,26.64,48.67,6.27,4.35,955.4,66.1,33883.22,-30726.75,2.46
-0.482,0.3639,-12.11,-6.014,0.034,27.06,35.01,17.78,3.25,912.6,111.8,-24822.92,1593.09,1.753
0.7192,-0.591,6.904,6.099,0.0366,26.14,56.54,39.75,4.44,946.7,102.9,29208.29,2744.83,1.913
-0.209,0.0002,6.275,-10.219,0.0425,20.05,46.87,6.36,2.09,845.0,21.9,-1226.83,-32404.47,1.926
0.0784,-0.1585,17.278,3.271,0.0424,17.06,6.24,33.86,1.65,887.7,144.8,6487.3,-3045.81,1.167
0.7316,0.6669,17.482,14.875,0.034,24.45,8.7,7.63,2.41,947.2,175.3,12717.21,2602.58,1.317
0.2236,0.2366,6.72,10.721,0.0253,22.71,4.65,13.09,2.65,865.2,36.7,2283.23,1303.22,1.093
-0.6896,0.0585,-9.23,15.172,0.0335,27.12,33.98,10.75,4.13,955.5,161.6,-2299.47,33660.9,1.985
0.7917,-0.6923,10.748,17.226,0.0371,21.94,59.81,4.5,2.96,833.6,102.4,65549.56,33643.6,2.981
0.2299,0.1901,-14.147,-17.616,0.0362,20.1,23.92,40.44,2.02,946.4,168.8,-32948.34,-12415.95,1.95
-0.2972,-0.689,10.105,4.419,0.038,19.28,28.89,28.07,3.6,882.3,35.8,18773.26,-4489.78,1.5
-0.6493,-0.293,14.767,-3.138,0.0281,17.81,65.66,49.95,2.77,830.3,143.6,52286.21,-36812.71,2.633
0.5292,-0.6429,-4.218,12.955,0.0379,18.78,60.58,6.38,1.57,943.1,15.5,11800.32,47609.38,2.397
0.2161,0.3457,4.703,-8.935,0.0287,15.71,48.55,9.11,3.02,855.3,159.6,1451.38,-32871.69,1.833
0.0602,-0.5287,-2.515,17.317,0.04,20.24,20.68,18.73,4.19,823.1,123.0,9242.63,21656.57,1.558
0.709,-0.1947,-2.24,4.093,0.0318,14.66,10.19,46.07,3.95,839.0,69.8,866.14,3069.98,1.117
0.5195,0.7122,-6.827,10.567,0.0392,17.36,3.12,18.69,3.05,912.3,38.3,-393.25,2286.91,1.092
-0.627,-0.5322,9.437,-14.918,0.026,27.44,9.49,24.8,2.32,956.9,147.9,1775.53,-8726.3,1.288
-0.3389,0.014,15.702,-11.396,0.0332,19.86,22.48,18.45,1.3,835.6,110.6,12298.86,-26208.88,1.705
-0.4527,-0.1453,15.867,9.303,0.0391,26.03,40.63,5.27,2.64,884.7,68.1,42715.1,-1827.89,2.225
0.4391,-0.8674,-11.708,-17.208,0.0295,26.9,6.48,56.4,3.63,845.3,82.7,-5601.19,-3574.9,1.215
-0.8396,0.527,13.491,11.408,0.0409,24.46,11.54,33.14,2.26,924.3,149.6,12593.79,1294.9,1.278
0.1258,-0.7757,8.548,-17.498,0.0376,31.26,14.68,47.38,1.82,836.5,64.3,-969.54,-15108.38,1.474
0.4724,-0.0463,-8.898,5.656,0.0368,14.39,46.24,39.67,4.26,853.6,20.7,-12008.21,28667.02,1.857
0.6782,0.1092,-15.578,-4.857,0.0321,27.3,45.11,31.1,3.88,847.5,164.5,-41493.24,5971.45,2.27
-0.2843,0.2312,-8.352,4.014,0.0346,31.26,40.55,5.84,3.23,897.4,72.8,-11192.9,14747.07,1.607
0.5783,0.3395,14.839,7.057,0.0369,29.52,19.54,38.74,1.48,942.2,66.0,16042.84,-1442.45,1.588
-0.7009,-0.4441,4.794,-5.671,0.0344,17.02,27.98,9.74,1.51,891.6,40.8,1175.06,-12309.52,1.442
0.6236,-0.882,7.958,-14.113,0.039,19.88,8.77,25.16,1.36,828.2,162.0,-317.06,-9038.96,1.221
-0.6705,0.4022,-8.743,-15.493,0.0337,17.1,17.85,37.93,3.16,898.9,43.1,-16018.0,-10543.04,1.564
-0.1849,0.0642,7.898,3.202,0.029,24.82,64.84,47.04,1.4,931.7,116.4,30113.79,-1345.38,1.808
0.5351,0.605,-16.988,0.744,0.0293,26.82,70.58,41.26,3.95,838.5,159.1,-62308.93,31334.13,2.937
-0.6301,0.5785,-4.488,8.719,0.0251,19.71,47.34,40.46,4.48,830.2,11.1,-1159.69,25658.44,1.778
-0.4873,0.618,4.563,0.35,0.031,23.71,66.18,9.37,2.28,846.3,150.0,13512.79,-5176.03,1.454
0.4001,-0.0268,-12.741,-2.792,0.04,26.44,46.99,21.09,2.59,924.5,76.9,-33410.33,12283.85,2.123
0.3961,-0.2995,11.628,-3.669,0.0409,21.58,4.32,3.05,3.49,902.8,120.1,2027.69,-2373.18,1.118
0.2541,0.5248,-9.539,-17.048,0.029,29.37,71.77,43.31,4.28,895.7,70.2,-55774.3,-38920.62,3.385
0.3491,-0.0877,5.482,-5.92,0.0442,27.89,8.93,57.18,4.13,854.9,126.7,613.39,-3491.71,1.119
0.0769,-0.5698,-3.413,17.137,0.035,15.16,49.78,16.21,1.2,866.5,49.5,17532.06,53305.08,2.4
-0.4468,0.639,3.458,13.448,0.0433,25.18,19.7,5.72,1.59,955.2,8.8,12575.13,10292.97,1.43
-0.2777,0.6886,-14.132,-6.142,0.0391,18.24,29.44,28.8,3.64,853.7,170.9,-31145.29,5131.31,1.769
-0.5731,-0.0606,-17.391,3.161,0.0394,24.04,47.22,51.47,3.41,946.2,7.9,-32375.96,32204.07,2.359
0.7352,-0.7637,14.744,12.503,0.0267,31.22,32.55,33.34,1.47,901.3,149.2,31355.45,10100.51,2.082
0.1501,-0.2019,-8.293,-2.114,0.0294,29.82,19.54,3.28,2.76,837.3,34.6,-8361.14,1718.41,1.314
-0.1785,0.5464,11.508,-17.354,0.0252,21.28,25.41,58.47,3.73,885.4,73.6,6111.96,-29251.74,1.882
-0.0684,0.7232,17.977,-15.318,0.0393,19.25,25.91,49.8,1.77,952.8,148.9,13916.61,-39478.8,1.929
0.8051,-0.5337,-10.388,0.374,0.0319,18.22,69.15,8.33,4.05,878.6,41.0,-37591.54,21385.1,2.284
-0.624,-0.7794,-8.454,16.9,0.0407,23.59,57.9,55.35,1.19,940.9,156.5,7574.15,69244.17,2.813
0.1552,0.6792,5.863,6.956,0.0318,16.06,34.1,27.32,3.74,855.9,92.1,18406.68,7232.6,1.652
0.0106,-0.1991,16.756,-15.447,0.0414,23.89,15.99,22.63,3.16,899.9,69.1,4760.77,-19882.78,1.64
0.2006,0.0752,14.969,-11.183,0.0276,14.02,58.77,27.93,2.1,938.1,120.9,35709.06,-63936.73,2.82
-0.8674,0.8425,0.104,9.768,0.0285,19.83,13.0,50.16,3.52,948.9,64.7,2888.86,6282.34,1.234
0.6698,-0.7802,10.624,12.292,0.0318,17.96,16.73,39.74,3.74,888.0,65.8,16407.82,6148.08,1.352
0.7778,0.267,-13.113,4.237,0.0332,31.48,27.62,4.03,4.27,909.6,133.4,-13606.41,14864.43,1.686
0.1172,-0.7666,17.188,5.199,0.032,27.09,63.62,57.48,2.29,820.4,59.2,56780.92,-11430.49,3.033
0.354,-0.2242,16.717,-16.98,0.0403,20.29,11.23,9.29,3.4,855.5,40.1,2510.92,-16757.25,1.341
0.7605,0.5469,-12.106,11.827,0.0269,15.67,10.56,44.86,3.11,859.0,146.3,-3492.81,10338.5,1.283
0.373,-0.1197,-7.221,10.378,0.032,23.3,36.58,38.35,2.84,833.1,145.9,-3772.24,25879.31,1.765
-0.6254,0.8949,-14.394,-8.675,0.0417,17.84,21.35,11.66,4.12,859.2,92.1,-23695.7,413.45,1.642
0.1373,0.1063,-8.218,7.512,0.0263,23.66,41.81,10.66,1.01,865.0,97.2,-11397.14,22191.36,1.881
0.1921,-0.3219,11.374,-10.265,0.0438,29.04,33.61,52.28,1.99,955.6,126.8,6508.39,-27551.46,1.878
-0.1366,-0.5038,-4.381,-16.548,0.0447,25.08,32.45,25.47,2.88,913.6,94.1,-24759.69,-21084.06,2.033
0.4256,-0.2691,-14.818,-10.759,0.0268,25.41,9.84,39.45,1.62,879.6,78.0,-9674.55,-2333.97,1.309
0.7819,-0.2294,-5.68,-11.569,0.0308,23.74,11.87,30.49,4.18,958.3,179.1,-7154.93,-6394.24,1.278
0.766,-0.7763,17.33,-5.841,0.0324,30.69,59.48,43.78,3.27,841.5,30.8,33678.12,-36791.73,2.829
-0.0885,-0.2348,4.669,-2.936,0.0405,30.77,64.01,29.01,2.67,886.6,108.7,9390.12,-18648.39,1.649
-0.6962,-0.0644,-3.018,0.307,0.0369,23.23,18.43,17.6,3.85,910.6,160.0,-2380.32,1831.94,1.072
0.8727,0.4009,-12.005,-0.837,0.0379,19.5,9.94,22.12,2.58,827.8,125.3,-7042.87,4597.99,1.24
0.61,0.2821,17.502,-8.256,0.0402,22.27,5.74,51.62,2.96,920.4,159.2,3707.54,-5929.01,1.124
-0.6756,0.3758,11.551,-16.95,0.0274,17.36,44.58,28.35,1.01,834.0,63.9,10040.06,-55153.44,2.51
0.7575,-0.8849,-7.867,3.784,0.0417,25.45,52.07,13.2,2.28,839.6,52.6,-12736.0,22585.47,1.726
0.6658,-0.5082,-15.478,-3.753,0.0391,23.0,28.1,56.11,1.49,842.4,154.0,-28867.18,8746.24,1.75
0.0339,0.291,-15.961,-7.248,0.0365,15.86,49.58,47.9,3.41,950.0,74.0,-57232.72,5244.03,2.433
0.1643,-0.0288,-13.666,13.21,0.0428,17.56,51.91,3.81,2.68,915.7,129.2,-13492.43,69591.06,2.701
-0.1818,-0.8904,2.908,8.883,0.039,22.63,67.47,59.94,2.06,911.8,30.9,28173.06,20783.73,2.007
-0.8014,0.5481,15.435,12.88,0.029,29.98,6.54,41.85,2.64,897.8,137.3,6443.45,1657.52,1.133
-0.2966,0.4911,-0.117,-0.181,0.0336,24.2,15.46,10.04,1.73,861.0,101.1,-611.29,106.5,0.938
0.5451,0.0872,12.346,-13.286,0.0349,26.27,6.8,14.61,4.24,906.9,52.0,1544.5,-6743.79,1.255
-0.8917,-0.7804,-1.948,7.064,0.0261,20.1,62.76,41.7,1.19,877.4,91.5,1720.79,26774.77,1.718
-0.2997,0.4797,7.509,-10.581,0.0441,24.29,57.48,46.9,4.03,840.4,127.0,-409.93,-46803.91,2.263
-0.1833,0.1507,8.347,-2.116,0.0276,22.05,42.22,14.72,2.79,916.5,7.1,12907.29,-11104.3,1.591
0.0673,0.5075,-11.737,-15.66,0.0389,25.86,7.86,15.79,3.17,838.1,116.6,-7935.3,-2978.28,1.297
0.7557,0.4531,-4.996,11.711,0.0351,14.91,21.13,18.77,2.06,846.7,99.8,2572.72,17829.61,1.437
-0.2766,0.5454,4.943,-13.466,0.0255,22.88,22.84,36.08,4.38,934.5,43.6,-1265.6,-16307.52,1.684
-0.2755,0.0324,-15.455,14.512,0.0435,19.33,41.25,10.72,1.99,912.4,136.8,-11426.09,58340.31,2.552
0.4275,-0.6474,-4.985,13.112,0.042,19.87,20.06,6.7,3.06,908.3,58.1,4273.83,18037.89,1.453
-0.086,0.3081,1.253,-1.275,0.0355,31.3,7.11,40.89,4.48,878.5,53.5,-287.43,-80.38,0.999
-0.4957,0.2169,17.864,8.797,0.0296,17.29,53.15,46.86,4.08,875.5,87.5,64540.78,3159.94,2.921
-0.0856,0.4361,-0.917,4.3,0.0274,19.6,22.94,30.31,2.88,916.6,123.3,1555.56,5823.45,1.114
-0.6465,-0.5942,11.378,10.911,0.0323,23.18,33.67,22.15,4.47,923.6,167.5,30684.57,8552.4,1.882
-0.5825,-0.549,-2.446,-2.455,0.0301,29.53,10.94,26.21,3.45,891.4,29.7,-1052.15,528.83,1.064
-0.0029,0.7027,10.67,10.289,0.0351,21.5,58.18,23.61,1.73,955.7,74.4,49573.48,12297.87,2.437
-0.1459,0.45,3.435,-1.352,0.0443,27.39,41.59,57.62,2.42,953.8,16.7,3205.77,-7453.73,1.169
0.7467,0.7348,13.917,15.875,0.0365,29.41,65.11,46.2,2.17,877.7,137.7,74031.77,23659.18,3.316
-0.2477,0.4657,-3.206,-0.491,0.0428,19.58,36.68,12.88,2.2,934.9,83.4,-5865.99,2609.69,1.15
0.1451,0.1749,3.755,-1.346,0.038,21.07,67.9,23.36,3.66,896.1,128.7,5227.95,-12480.91,1.523
0.2381,0.2774,4.681,10.263,0.0345,20.42,64.43,32.87,3.04,891.6,61.4,34082.34,24486.51,2.138
